lynx	lynx	noun
lynxes	lynx	noun:plural
laser	laser	noun
laser	laser	noun
logic	logic	noun
list	list	noun
lists	list	noun:plural
list	list	verb:simple_present+
lists	list	verb:simple_present+
listed	list	verb:simple_past+
listed	list	verb:past_participle+
listing	list	verb:present_participle+
listing	list	verb:present_participle
low	low	adjective
low	low	verb:simple_present+intransitive
lows	low	verb:simple_present+intransitive
lowed	low	verb:simple_past+intransitive
lowed	low	verb:past_participle+intransitive
lowing	low	verb:present_participle+intransitive
long	long	adjective
long	long	verb:simple_present+
longs	long	verb:simple_present+
longed	long	verb:simple_past+
longed	long	verb:past_participle+
longing	long	verb:present_participle+
living	living	adjective
living	living	noun
life	life	noun
liquid	liquid	noun
liquid	liquid	adjective
loss	loss	noun
losses	loss	noun:plural
liver	liver	noun
livers	liver	noun:plural
liver	liver	adjective
live	live	verb:simple_present+intransitive
lives	live	verb:simple_present+intransitive
lived	live	verb:simple_past+intransitive
lived	live	verb:past_participle+intransitive
living	live	verb:present_participle+intransitive
live	live	adjective
live	live	adverbe
lil	lil	adjective
lil	lil	noun
lift	lift	verb:simple_present+
lifts	lift	verb:simple_present+
lifted	lift	verb:simple_past+
lifted	lift	verb:past_participle+
lifting	lift	verb:present_participle+
lifting	lift	verb:present_participle
lift	lift	noun
linchpin	linchpin	noun
longsword	longsword	noun
l	l	letter
l	l	noun
loan	loan	noun
loan	loan	verb:simple_present+
loans	loan	verb:simple_present+
loaned	loan	verb:simple_past+
loaned	loan	verb:past_participle+
loaning	loan	verb:present_participle+
leader	leader	noun
leaders	leader	noun:plural
lifting	lifting	noun
lifting	lifting	verb:simple_present+
liftings	lifting	verb:simple_present+
liftinged	lifting	verb:simple_past+
liftinged	lifting	verb:past_participle+
liftinging	lifting	verb:present_participle+
leafs	leafs	noun
leaves	leaves	noun
leaves	leaves	verb:simple_present+
leavess	leaves	verb:simple_present+
???	leaves	verb:simple_past+
???	leaves	verb:past_participle+
???	leaves	verb:present_participle+
lash	lash	noun
lashes	lash	noun:plural
lash	lash	verb:simple_present+transitive
lashs	lash	verb:simple_present+transitive
lashed	lash	verb:simple_past+transitive
lashed	lash	verb:past_participle+transitive
lashing	lash	verb:present_participle+transitive
lashing	lash	verb:present_participle
lash	lash	verb:simple_present+intransitive
lashs	lash	verb:simple_present+intransitive
lashed	lash	verb:simple_past+intransitive
lashed	lash	verb:past_participle+intransitive
lashing	lash	verb:present_participle+intransitive
locative	locative	adjective
locative	locative	noun
locator	locator	noun
locellate	locellate	adjective
loch	loch	noun
lochs	loch	noun:plural
loch	loch	noun
lochs	loch	noun:plural
loch	loch	noun
Laura	Laura	noun
Laura	Laura	proper noun
laundryman	laundryman	noun
laundress	laundress	noun
laundress	laundress	verb:simple_present+intransitive
laundresss	laundress	verb:simple_present+intransitive
laundressed	laundress	verb:simple_past+intransitive
laundressed	laundress	verb:past_participle+intransitive
laundressing	laundress	verb:present_participle+intransitive
laundering	laundering	noun
localization	localization	noun
localizations	localization	noun:plural
localize	localize	verb:simple_present+transitive
localizes	localize	verb:simple_present+transitive
localized	localize	verb:simple_past+transitive
localized	localize	verb:past_participle+transitive
localizing	localize	verb:present_participle+transitive
locally	locally	adverbe
locate	locate	verb:simple_present+transitive
locates	locate	verb:simple_present+transitive
located	locate	verb:simple_past+transitive
located	locate	verb:past_participle+transitive
locating	locate	verb:present_participle+transitive
locate	locate	verb:simple_present+intransitive
locates	locate	verb:simple_present+intransitive
located	locate	verb:simple_past+intransitive
located	locate	verb:past_participle+intransitive
locating	locate	verb:present_participle+intransitive
latino	latino	noun
latino	latino	adjective
landen	landen	verb:simple_present+
landens	landen	verb:simple_present+
???	landen	verb:simple_past+
???	landen	verb:past_participle+
???	landen	verb:present_participle+
landen	landen	noun
landen	landen	noun
luik	luik	noun
luik	luik	noun
luier	luier	noun
luier	luier	adjective
lies	lies	noun
lies	lies	verb:simple_present+
liess	lies	verb:simple_present+
liesed	lies	verb:simple_past+
liesed	lies	verb:past_participle+
liesing	lies	verb:present_participle+
lies	lies	noun
lies	lies	noun
lies	lies	verb:simple_present+
liess	lies	verb:simple_present+
liesed	lies	verb:simple_past+
liesed	lies	verb:past_participle+
liesing	lies	verb:present_participle+
link	link	noun
link	link	proper noun
link	link	verb:simple_present+transitive
links	link	verb:simple_present+transitive
linked	link	verb:simple_past+transitive
linked	link	verb:past_participle+transitive
linking	link	verb:present_participle+transitive
labour	labour	noun
labour	labour	verb:simple_present+
labours	labour	verb:simple_present+
laboured	labour	verb:simple_past+
laboured	labour	verb:past_participle+
labouring	labour	verb:present_participle+
labour	labour	verb:simple_present+intransitive
labours	labour	verb:simple_present+intransitive
laboured	labour	verb:simple_past+intransitive
laboured	labour	verb:past_participle+intransitive
labouring	labour	verb:present_participle+intransitive
labour	labour	verb:simple_present+transitive
labours	labour	verb:simple_present+transitive
laboured	labour	verb:simple_past+transitive
laboured	labour	verb:past_participle+transitive
labouring	labour	verb:present_participle+transitive
las	las	noun
lullaby	lullaby	noun
loophole	loophole	noun
loopholes	loophole	noun:plural
ledig	ledig	adjective
ledig	ledig	adjective
legend	legend	noun
locust	locust	noun
libro	libro	noun
libro	libro	noun
libro	libro	noun
libro	libro	noun
labyrinth	labyrinth	noun
labyrinths	labyrinth	noun:plural
lavatory	lavatory	noun
lavatories	lavatory	noun:plural
lunar	lunar	adjective
lune	lune	noun
lunes	lune	noun:plural
London	London	proper noun
London	London	adjective
linear	linear	adjective
linear	linear	proper noun
line	line	noun
lines	line	noun:plural
line	line	verb:simple_present+transitive
lines	line	verb:simple_present+transitive
lined	line	verb:simple_past+transitive
lined	line	verb:past_participle+transitive
lining	line	verb:present_participle+transitive
line	line	verb:simple_present+intransitive
lines	line	verb:simple_present+intransitive
lined	line	verb:simple_past+intransitive
lined	line	verb:past_participle+intransitive
lining	line	verb:present_participle+intransitive
laryngitis	laryngitis	noun
lithium	lithium	noun
lanthanum	lanthanum	noun
lutetium	lutetium	noun
lawrencium	lawrencium	noun
li	li	noun
links	links	noun
la	la	noun
Lombardy	Lombardy	proper noun
laus	laus	adjective
laus	laus	noun
louse	louse	noun
lice	louse	noun:plural
lexicon	lexicon	noun
lexicons	lexicon	noun:plural
lief	lief	adverbe
lief	lief	adjective
lever	lever	adverbe
lever	lever	noun
labor	labor	noun
lavaret	lavaret	noun
lava	lava	noun
laurus	laurus	noun
laurinol	laurinol	noun
lauriferous	lauriferous	adjective
